name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gresik,1/18/2020,33.7,26.2,29.8,41.8,26.2,35,24.6,74.3,16,100,8.33,rain,0,0,19.1,11.2,304.5,1010.2,51,6.4,283.9,24.7,9,,2020-01-18T05:25:05,2020-01-18T17:54:00,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/19/2020,33.3,25.4,29.3,41.9,25.4,34.5,25.1,78.6,40.6,100,16.67,rain,0,0,22,9.4,306.5,1010.3,72.2,8.1,267,23.2,9,,2020-01-19T05:25:31,2020-01-19T17:54:12,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/20/2020,31.9,26.1,28.8,40.7,26.1,34.1,25.3,82.1,24,100,16.67,rain,0,0,25.9,11.2,293.4,1010.9,86.4,7.6,255.5,22.1,10,,2020-01-20T05:25:57,2020-01-20T17:54:23,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/21/2020,31.8,25.7,28.7,41,25.7,33.8,25.5,82.8,24.5,100,12.5,rain,0,0,24.8,14.6,302.4,1012.2,93.8,6.5,206.2,17.8,6,,2020-01-21T05:26:23,2020-01-21T17:54:33,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/22/2020,33.9,26.4,30,41.5,26.4,35.8,25.1,75.8,0.3,100,4.17,rain,0,0,18.4,14.8,212,1011.5,59,8.2,281.7,24.1,9,,2020-01-22T05:26:48,2020-01-22T17:54:42,0.9,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/23/2020,32.9,27.2,29.4,40.5,30.6,35.1,25.2,78.4,7.1,100,33.33,rain,0,0,25.6,14.8,173.9,1010.2,82.1,9.2,229.8,19.8,8,,2020-01-23T05:27:12,2020-01-23T17:54:50,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/24/2020,33.1,26.7,29.7,40.8,26.7,35.4,25.2,77.3,3,100,4.17,rain,0,0,19.4,13,323.3,1010.2,63.3,6.7,256.1,22,9,,2020-01-24T05:27:36,2020-01-24T17:54:58,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/25/2020,33.2,26.7,28.9,40.6,26.7,33.7,24.9,79.5,6.4,100,12.5,rain,0,0,20.2,18.4,277.7,1010.3,82.7,8.4,230.3,19.8,8,,2020-01-25T05:27:59,2020-01-25T17:55:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/26/2020,33.2,26,29.4,39.9,26,33.7,24.7,76.6,5,100,4.17,rain,0,0,19.8,11.2,301,1009.5,63.9,8.7,234.9,20.2,8,,2020-01-26T05:28:21,2020-01-26T17:55:09,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96933099999,96935099999,remote"
Gresik,1/27/2020,32.1,27.1,29.4,40.8,30.8,35.6,25.5,79.5,34,100,4.17,rain,0,0,22.3,10.8,301.2,1009.7,76.7,8.6,234.1,20.3,8,,2020-01-27T05:28:43,2020-01-27T17:55:13,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/28/2020,33.6,27.4,30,42.3,31.6,36.6,25.7,78.5,2.5,100,12.5,rain,0,0,19.1,9.4,289.5,1009.6,70.1,7.4,282.6,24.4,9,,2020-01-28T05:29:05,2020-01-28T17:55:17,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/29/2020,34.8,26.7,29.8,45.2,26.7,35.8,25.4,78.4,2.6,100,25,rain,0,0,29.9,13.7,286,1009.6,76.3,8,275.4,23.7,9,,2020-01-29T05:29:25,2020-01-29T17:55:19,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96933099999,96935099999,remote"
Gresik,1/30/2020,32.1,25.9,28.3,40,25.9,32.8,25,82.4,23,100,8.33,rain,0,0,37.1,20.2,278,1009.5,93.2,6.8,211,18.3,9,,2020-01-30T05:29:45,2020-01-30T17:55:20,0.17,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/31/2020,32.9,24.7,28.2,41.5,24.7,31.8,24.6,81.8,128,100,12.5,rain,0,0,28.1,17.2,287.6,1010,95.5,8,188.6,16.4,7,,2020-01-31T05:30:04,2020-01-31T17:55:21,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/1/2020,32.1,24.7,27.8,40,24.7,30.9,24.9,84.7,23,100,12.5,rain,0,0,22.7,13,273.5,1010.5,94.9,7,208.7,17.8,7,,2020-02-01T05:30:23,2020-02-01T17:55:20,0.24,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/2/2020,31.9,25,27.9,40.3,25,31.2,24.6,83,4,100,8.33,rain,0,0,24.8,14.8,284.2,1011.2,93.9,7.9,186.4,15.9,7,,2020-02-02T05:30:41,2020-02-02T17:55:19,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/3/2020,32.7,24.7,27.8,40.6,24.7,30.3,24.4,82.3,5.5,100,8.33,rain,0,0,22.7,18.4,268,1011.2,94.1,8.7,245.1,21.1,9,,2020-02-03T05:30:58,2020-02-03T17:55:16,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/4/2020,33.2,24.7,28.6,41,24.7,32.5,24.8,80.6,1.5,100,20.83,rain,0,0,22.3,16.6,269.2,1009.8,89.3,7.6,262.2,22.4,10,,2020-02-04T05:31:15,2020-02-04T17:55:13,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/5/2020,33.1,25.4,29,40.6,25.4,33.4,24.5,77.7,6.4,100,8.33,rain,0,0,17.3,10.8,293.8,1008.9,95.2,8.3,274.9,23.8,9,,2020-02-05T05:31:31,2020-02-05T17:55:08,0.37,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,2/6/2020,33.4,26.1,28.9,41,26.1,33.2,24.6,78.4,0.7,100,16.67,rain,0,0,29.9,22.3,281.9,1008.9,93.4,8,239.6,20.6,8,,2020-02-06T05:31:46,2020-02-06T17:55:03,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/7/2020,32.4,24.7,28.1,40.5,24.7,31.5,24.7,82.7,4,100,12.5,rain,0,0,38.9,20.5,294.3,1009.9,92.9,7.2,209.4,18,9,,2020-02-07T05:32:00,2020-02-07T17:54:57,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/8/2020,31.9,24.7,28.1,38.8,24.7,31.9,24.8,83,0.2,100,4.17,rain,0,0,34.9,19.8,277.7,1010.6,94.6,8.6,132,11.2,6,,2020-02-08T05:32:14,2020-02-08T17:54:50,0.46,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"96933099999,96935099999,remote"
Gresik,2/9/2020,31.6,26.9,28.7,38.3,30.1,33.4,24.6,79.1,5,100,25,rain,0,0,28.8,18.4,266.7,1010.6,97.1,8.3,158.7,13.6,6,,2020-02-09T05:32:27,2020-02-09T17:54:42,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/10/2020,32.3,25.8,28.6,39.6,25.8,32.4,24.9,81,12.6,100,12.5,rain,0,0,26.6,15.6,259.7,1010.7,93.3,8.3,241.8,20.8,8,,2020-02-10T05:32:39,2020-02-10T17:54:33,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/11/2020,30.7,25.4,27.9,38.9,25.4,31.6,25.3,86.5,13.6,100,16.67,rain,0,0,17.6,13,237.1,1011.9,98,5.3,166.1,14.4,6,,2020-02-11T05:32:51,2020-02-11T17:54:23,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/12/2020,31.3,26.4,28.4,39.3,26.4,33.1,25.4,84.6,23.9,100,8.33,rain,0,0,21.2,11.2,86.6,1012.2,83,7.5,209.4,18.1,7,,2020-02-12T05:33:02,2020-02-12T17:54:12,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/13/2020,33,26.2,29,41,26.2,34.3,25.4,81.5,6.1,100,41.67,rain,0,0,20.2,12.6,40.8,1011,66,8.5,258.7,22.3,9,,2020-02-13T05:33:12,2020-02-13T17:54:00,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96933099999,96935099999,remote"
Gresik,2/14/2020,32.5,26.2,28.9,42.3,26.2,34.4,25.5,82.2,7.3,100,37.5,rain,0,0,22.7,12.4,302.4,1010.2,77.2,7.5,240.3,20.8,8,,2020-02-14T05:33:22,2020-02-14T17:53:48,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/15/2020,31.4,25.6,28.2,39.4,25.6,32.2,25,83,6.7,100,8.33,rain,0,0,25.2,13,271.2,1010.9,89.3,6.6,222,19.2,8,,2020-02-15T05:33:31,2020-02-15T17:53:35,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/16/2020,32.6,25.1,27.9,42.5,25.1,31.3,24.9,83.9,19,100,8.33,rain,0,0,20.9,16.6,291.5,1011,82.7,6.6,218.8,18.7,7,,2020-02-16T05:33:39,2020-02-16T17:53:21,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/17/2020,30.3,24.4,27,37.3,24.4,29.1,24.6,87.4,58,100,16.67,rain,0,0,21.6,13,280.4,1011.6,95.7,6.7,130.2,11.3,5,,2020-02-17T05:33:47,2020-02-17T17:53:06,0.78,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/18/2020,30.8,23.7,27.2,38.4,23.7,30.1,24.7,86.2,0.3,100,4.17,rain,0,0,29.5,17.8,289.2,1011,92.7,6.8,215.4,18.6,9,,2020-02-18T05:33:54,2020-02-18T17:52:50,0.81,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,2/19/2020,33,25.4,27.7,42,25.4,30.8,24.9,85,2,100,4.17,rain,0,0,29.5,16.1,289.3,1010.1,91.4,7.4,130.6,11.4,4,,2020-02-19T05:34:00,2020-02-19T17:52:34,0.85,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,2/20/2020,29.7,25.1,27.3,34.9,25.1,29.9,24.6,85.5,0.2,100,4.17,rain,0,0,49.7,19.1,281.9,1010.4,96.3,8.3,161.1,14.1,8,,2020-02-20T05:34:06,2020-02-20T17:52:17,0.88,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,2/21/2020,32,25.9,28.1,40.2,25.9,31.6,24.9,83,18,100,8.33,rain,0,0,42.1,20.5,289.6,1011.1,89.6,8.6,244,21,8,,2020-02-21T05:34:11,2020-02-21T17:51:59,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,2/22/2020,33.5,25.4,28.2,41.7,25.4,31.4,25.3,85,51,100,8.33,rain,0,0,22.3,14.4,292.3,1011.3,88.3,7.6,246.3,21.4,9,,2020-02-22T05:34:15,2020-02-22T17:51:40,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/23/2020,32.6,25.7,28.3,40.6,25.7,32.3,25.4,85.3,13.7,100,8.33,rain,0,0,28.4,14,289.2,1010.3,67,7.3,241,20.6,8,,2020-02-23T05:34:19,2020-02-23T17:51:21,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/24/2020,32.5,25.4,27.9,40.7,25.4,31.7,25.3,85.9,14,100,12.5,rain,0,0,31.3,24.1,280.2,1009.7,76.3,8.1,222.4,19.2,9,,2020-02-24T05:34:23,2020-02-24T17:51:01,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/25/2020,32.7,25.6,28.1,41.6,25.6,31.6,25.1,84.4,100.5,100,16.67,rain,0,0,35.6,18.4,289.6,1009.5,87.9,7.7,194.2,16.8,7,,2020-02-25T05:34:26,2020-02-25T17:50:40,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/26/2020,32.1,26.3,27.9,40.3,26.3,31,25.3,86.5,10,100,12.5,rain,0,0,25.6,18.4,297.3,1009.5,97.4,8.7,159.5,13.9,6,,2020-02-26T05:34:28,2020-02-26T17:50:19,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/27/2020,33.2,25.6,28.4,42,25.6,32.5,25.5,84.9,3,100,8.33,rain,0,0,31.7,16.6,289.5,1009,89.6,8.7,185.1,16,8,,2020-02-27T05:34:29,2020-02-27T17:49:57,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/28/2020,33.2,25.8,28.1,42.2,25.8,31.2,25.3,85.4,15.6,100,8.33,rain,0,0,28.1,20.5,284.4,1008.1,86.4,7.8,240.4,20.8,9,,2020-02-28T05:34:31,2020-02-28T17:49:35,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,2/29/2020,33.1,25.7,28.4,42.8,25.7,32.5,25.4,84.5,0.8,100,4.17,rain,0,0,28.4,15.1,285,1007.7,94.4,8.6,184,15.8,7,,2020-02-29T05:34:31,2020-02-29T17:49:12,0.18,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
